"TABLE_NAME";"schema_name";"COLUMN_NAME";"CONSTRAINTS";"OPTIONAL";"COLUMN_TYPE";"COLUMN_COMMENT"
"ags_author";"REAL";"author_id";"PRIMARY KEY";"NO";"bigint(20)";"UNIQUE AUTHOR ID"
"ags_author";"REAL";"city";NULL;"NO";"varchar(30)";"AUTHOR CITY ADDRESS"
"ags_author";"REAL";"email";NULL;"NO";"varchar(30)";"AUTHOR EMAIL ID"
"ags_author";"REAL";"fname";NULL;"NO";"varchar(30)";"AUTHOR FIRST NAME"
"ags_author";"REAL";"lname";NULL;"NO";"varchar(30)";"AUTHOR LAST NAME"
"ags_author";"REAL";"state";NULL;"NO";"varchar(30)";"AUTHOR STATE"
"ags_author";"REAL";"street_addr1";NULL;"NO";"varchar(30)";"AUTHOR STREET ADDRESS1"
"ags_author";"REAL";"street_addr2";NULL;"YES";"varchar(30)";"AUTHOR STREET ADDRESS2"
"ags_author";"REAL";"zipcode";NULL;"NO";"varchar(10)";"AUTHOR ZIPCODE ADDRESS"
"ags_bks_aut";"REAL";"author_id";"FOREIGN KEY,PRIMARY KEY";"NO";"bigint(20)";
"ags_bks_aut";"REAL";"book_id";"FOREIGN KEY,PRIMARY KEY";"NO";"bigint(20)";
"ags_bks_tpc";"REAL";"book_id";"FOREIGN KEY,PRIMARY KEY";"NO";"bigint(20)";
"ags_bks_tpc";"REAL";"topic_id";"FOREIGN KEY,PRIMARY KEY";"NO";"smallint(6)";
"ags_books";"REAL";"book_id";"PRIMARY KEY";"NO";"bigint(20)";"UNIQUE BOOK ID"
"ags_books";"REAL";"book_name";NULL;"NO";"varchar(30)";"BOOK NAME"
"ags_books";"REAL";"publish_date";NULL;"NO";"datetime";"BOOK PUBLISH DATE"
"AGS_CUSTOMER";"REAL";"cust_id";"PRIMARY KEY";"NO";"bigint(20)";"UNIQUE CUSTOMER ID"
"AGS_CUSTOMER";"REAL";"email";NULL;"NO";"varchar(30)";"CUSTOMER EMAIL ID"
"AGS_CUSTOMER";"REAL";"fname";NULL;"NO";"varchar(30)";"CUSTOMER FIRST NAME"
"AGS_CUSTOMER";"REAL";"id_num";NULL;"NO";"varchar(20)";"CUSTOMER ID NUMBER"
"AGS_CUSTOMER";"REAL";"id_type";NULL;"NO";"char(1)";"CUSTOMER ID TYPE IN 'P'(PASSPORT), 'S'(SSN) OR 'D'(DRIVING LICENSE)"
